
=== Все заказы ===
Название                      Сумма     
----------------------------------------
Заказ продуктов               1250      
Заказ бытовой химии           890       
Заказ напитков                540       
Заказ овощей                  760       
Заказ молочных продуктов      430       
Заказ сладостей               680       
Большой заказ продуктов       3450      
Заказ для офиса               5200      
Заказ посуды                  2100      
Заказ фруктов                 980       
Заказ выпечки                 350       
Заказ готовой еды             1450      
Пирожки                       250       
Посуда                        3990      
Тарелка                       990       
